Name	WHO Region	Cases - cumulative total	Cases - cumulative total per 100000 population	Cases - newly reported in last 7 days	Cases - newly reported in last 7 days per 100000 population	Cases - newly reported in last 24 hours	Deaths - cumulative total
Global		298915721	3834.937113	13307762	170.7318378	2371669	5469303
United States of America	Americas	57535858	17382.295	4027033	1216.617	692531	826022
India	South-East Asia	35226386	2552.629	387582	28.086	117100	483178
Brazil	Americas	22351104	10515.226	87270	41.057	27267	619513
The United Kingdom	Europe	14015069	20645.005	1267948	1867.761	179731	149515
France	Europe	10902236	16762.521	1419654	2182.761	258245	122403
Russian Federation	Europe	10618035	7275.893	118053	80.895	16735	314604
Turkey	Europe	9786383	11603.618	345510	409.668	68413	83231
Germany	Europe	7417995	8919.428	267573	321.731	56335	113632
Italy	Europe	6975465	11695.659	994037	1666.687	219430	138474
Spain	Europe	6922466	14625.15	501647	1059.834	0	89837
Iran (Islamic Republic of)	Eastern Mediterranean	6201467	7383.319	10705	12.745	1171	131778
Argentina	Americas	5915695	13089.045	359456	795.331	95159	117346
Colombia	Americas	5219633	10258.13	81030	159.248	16259	130140
Indonesia	South-East Asia	4265187	1559.349	2467	0.902	518	144121
Poland	Europe	4191193	11041.619	82978	218.604	11901	99428
Mexico	Americas	4029274	3125.097	51798	40.174	20626	299842
Ukraine	Europe	3696468	8452.207	28819	65.896	7177	97088
South Africa	Africa	3504554	5909.006	58022	97.831	9858	92112
Netherlands	Europe	3247900	18657.959	132209	759.491	24700	21041
Philippines	Western Pacific	2888917	2636.328	47899	43.711	17220	51743
Malaysia	Western Pacific	2776699	8579.062	22186	68.547	3543	31628
Czechia	Europe	2517475	23541.139	41546	388.5	6641	36507
Canada	Americas	2394674	6344.826	292204	774.211	39431	30524
Peru	Americas	2318543	7031.885	31049	94.168	8687	202904
Thailand	South-East Asia	2252776	3227.474	29341	42.036	7526	21799
Belgium	Europe	2206992	19153.86	94382	819.115	16	28446
Iraq	Eastern Mediterranean	2095183	5208.983	2047	5.089	516	24191
Viet Nam	Western Pacific	1843563	1893.97	128821	132.343	25842	33644
Romania	Europe	1827867	9456.683	20644	106.804	6018	58940
Chile	Americas	1817300	9506.596	12618	66.007	3112	39207
Japan	Western Pacific	1743547	1378.555	10222	8.082	4194	18398
Bangladesh	South-East Asia	1589947	965.422	4408	2.677	0	28097
Portugal	Europe	1539050	14948.17	180233	1750.53	39074	19054
Israel	Europe	1454064	16799.227	72991	843.286	16830	8259
Switzerland	Europe	1448577	16737.619	113790	1314.789	50	11904
Greece	Europe	1422020	13266.888	251727	2348.514	33711	21185
Sweden	Europe	1375267	13316.438	60392	584.764	0	15369
Serbia	Europe	1327455	19164.307	30308	437.553	9122	12850
Austria	Europe	1309801	14715.106	38608	433.746	8288	13382
Pakistan	Eastern Mediterranean	1298763	587.962	4384	1.985	898	28950
Hungary	Europe	1282957	13132.234	26542	271.682	6524	39780
Kazakhstan	Europe	1076216	5731.655	4179	22.256	1192	18274
Jordan	Eastern Mediterranean	1071837	10504.978	12322	120.767	2288	12791
Morocco	Eastern Mediterranean	971961	2633.287	12863	34.849	0	14867
Cuba	Americas	970567	8568.905	4996	44.108	1429	8325
Georgia	Europe	953410	23899.929	18669	467.992	4234	14128
Denmark	Europe	919388	15789.549	112080	1924.859	25995	3333
Ireland	Europe	908672	18303.615	140223	2824.548	23817	5952
Slovakia	Europe	857801	15716.764	16068	294.4	1116	16896
Nepal	South-East Asia	831052	2852.241	2621	8.995	572	11602
