COUNTRY,WHO_REGION,DATA_SOURCE,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,NUMBER_VACCINES_TYPES_USED,,,,,,
Falkland Islands (Malvinas),southamerica,OWID,4407,2632,126.529,75.567,1775,50.962,AstraZeneca - AZD1222,1,,,,,,
Saint Helena,africa,OWID,7892,4361,129.995,71.833,3531,58.162,AstraZeneca - AZD1222,1,,,,,,
Isle of Man,europe,OWID,181474,68870,213.418,80.993,65631,77.184,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",3,,,,,,
Gibraltar,europe,OWID,108577,41199,322.273,122.285,40079,118.961,Pfizer BioNTech - Comirnaty,1,,,,,,
Greenland,europe,OWID,78558,40469,138.375,71.283,38089,67.091,Moderna - mRNA-1273,1,,,,,,
Faroe Islands,europe,OWID,98470,41489,201.514,84.905,40623,83.133,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",2,,,,,,
Jersey,europe,OWID,211427,81550,196.136,75.652,77133,71.555,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",3,,,,,,
Liechtenstein,OTHER,OWID,64609,26224,166.746,67.68,25689,66.299,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",2,,,,,,
Philippines,asia,REPORTING,108534301,61066594,99.045,55.727,49626599,45.288,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax - Covavax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",10,,,,,,
Nigeria,africa,REPORTING,15918689,11142593,7.722,5.405,4668105,2.265,SII - Covishield,1,,,,,,
Oman,asia,REPORTING,6118018,3121894,119.805,61.134,2902254,56.833,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",5,,,,,,
Curaçao,southamerica,REPORTING,204731,103890,124.765,63.312,96382,58.736,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3,,,,,,
Niue,oceania,REPORTING,2352,1202,145.365,74.289,1150,71.075,Pfizer BioNTech - Comirnaty,1,,,,,,  
Viet Nam,asia,REPORTING,150935915,77555511,155.063,79.676,68435813,70.307,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",6,,,,,,
Seychelles,africa,REPORTING,183472,82348,186.556,83.732,78263,79.578,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,SII - Covishield",4,,,,,,
Thailand,asia,REPORTING,97482775,51310112,139.66,73.51,46172663,66.15,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",7,,,,,,
Panama,southamerica,REPORTING,6193744,3120802,143.548,72.328,2804103,64.989,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2,,,,,,
Fiji,oceania,REPORTING,1272805,662848,141.984,73.942,609957,68.042,"AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield",3,,,,,,
Canada,northamerica,REPORTING,65784888,31416719,174.301,83.24,29206295,77.384,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",5,,,,,,
Belize,southamerica,REPORTING,424634,230125,106.792,57.874,199119,50.077,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",5,,,,,,
Democratic Republic of the Congo,africa,REPORTING,340509,270263,0.38,0.302,131316,0.147,SII - Covishield,1,,,,,,
Montserrat,southamerica,REPORTING,3020,1547,60.412,30.946,1472,29.446,AstraZeneca - Vaxzevria,1,,,,,,
Mali,africa,REPORTING,1196941,900986,5.911,4.449,518229,2.559,SII - Covishield,1,,,,,,
Malawi,africa,REPORTING,1740820,1382940,9.1,7.229,687294,3.593,"Janssen - Ad26.COV 2-S,SII - Covishield",2,,,,,,
